title,author
The Covenant of Water (Oprah's Book Club),Abraham Verghese
Lessons in Chemistry: A Novel,Bonnie Garmus
Demon Copperhead: A Pulitzer Prize Winner,Barbara Kingsolver
A Court of Mist and Fury (A Court of Thorns and Roses Book 2),Sarah J. Maas
A Court of Wings and Ruin (A Court of Thorns and Roses Book 3),Sarah J. Maas
A Court of Thorns and Roses,Sarah J. Maas
The Heaven & Earth Grocery Store: A Novel,James McBride
Things We Never Got Over (Knockemout Book 1),Lucy Score
The Five-Star Weekend,Elin Hilderbrand
The Lost Bookshop: The most charming and uplifting novel of 2023 and the perfect gift for book lovers!,Evie Woods
House of Earth and Blood (Crescent City Book 1),Sarah J. Maas
Lady Tan's Circle of Women: A Novel,Lisa See
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid
Light Bringer: A Red Rising Novel (Red Rising Series),Pierce Brown
The Serpent and the Wings of Night (Crowns of Nyaxia Book 1),Carissa Broadbent
It Ends with Us: A Novel,Colleen Hoover
It Starts with Us: A Novel (It Ends with Us Book 2),Colleen Hoover
Horse: A Novel,Geraldine Brooks
Cruel Paradise (Oryolov Bratva Book 1),Nicole Fox
The Ashes and the Star-Cursed King (Crowns of Nyaxia Book 2),Carissa Broadbent
Throne of Glass,Sarah J. Maas
Heir of Fire (Throne of Glass Book 3),Sarah J. Maas
Kingdom of Ash (Throne of Glass Book 7),Sarah J. Maas
Empire of Storms (Throne Of Glass Series Book 5),Sarah J. Maas
Queen of Shadows (Throne of Glass Book 4),Sarah J. Maas
Crown of Midnight (Throne of Glass Book 2),Sarah J. Maas
Tower of Dawn (Throne of Glass Book 6),Sarah J. Maas
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),Suzanne Collins
We'll Always Have Summer (Summer I Turned Pretty Book 3),Jenny Han
The Assassin's Blade: The Throne of Glass Prequel Novellas (Throne Of Glass Series),Sarah J. Maas
It's Not Summer Without You (The Summer I Turned Pretty Book 2),Jenny Han
"The Way of Kings (The Stormlight Archive, Book 1)",Brandon Sanderson
The Eye of the World: Book One of The Wheel of Time,Robert Jordan
"Words of Radiance (The Stormlight Archive, Book 2)",Brandon Sanderson
Oathbringer: Book Three of the Stormlight Archive,Brandon Sanderson
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)",Brandon Sanderson
Mistborn: The Final Empire,Brandon Sanderson
The Great Hunt: Book Two of 'The Wheel of Time',Robert Jordan
A Good Girl's Guide to Murder,Holly Jackson
The Lost Metal: A Mistborn Novel (The Mistborn Saga Book 7),Brandon Sanderson
Fourth Wing (The Empyrean Book 1),Rebecca Yarros
Throne of Glass eBook Bundle: An 8 Book Bundle,Sarah J. Maas
A Court of Silver Flames (A Court of Thorns and Roses Book 5),Sarah J. Maas
A Court of Thorns and Roses eBook Bundle: A 5 Book Bundle,Sarah J. Maas
House of Sky and Breath (Crescent City),Sarah J. Maas
Rhythm of War: Book Four of The Stormlight Archive,Brandon Sanderson
Go Tell the Bees That I Am Gone: A Novel (Outlander Book 9),Diana Gabaldon
Waybound (Cradle Book 12),Will Wight
The Dark Forest (The Three-Body Problem Series Book 2),Cixin Liu
The Covenant of Water: An Oprah's Book Club Selection,Abraham Verghese
Wild Scottish Knight: A fun opposites attract magical romance (The Enchanted Highlands Book 1),Tricia O'Malley
Death's End (The Three-Body Problem Series Book 3),Cixin Liu
Children of Time,Adrian Tchaikovsky
Magical Midlife Madness (Leveling Up Book 1),K.F. Breene
Zodiac Academy 8.5: Beyond The Veil,Caroline Peckham
The Last Wish: Introducing the Witcher (The Witcher Saga Book 1),Andrzej Sapkowski
Lords of Uncreation (The Final Architecture Book 3),Adrian Tchaikovsky
Legends & Lattes: A Novel of High Fantasy and Low Stakes,Travis Baldree
"The Choice: The Dragon Heart Legacy, Book 3",Nora Roberts
House of Pounding Hearts (The Kingdom of Crows Book 2),Olivia Wildenstein
"The Wager: A Tale of Shipwreck, Mutiny and Murder",David Grann
I'm Glad My Mom Died,Jennette Mccurdy
Spare,"Prince Harry, The Duke of Sussex"
The 48 Laws of Power,Robert Greene
Man's Search for Meaning,Viktor E. Frankl
Solito: A Memoir,Javier Zamora
Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe
Greenlights,Matthew McConaughey
"Maybe You Should Talk to Someone: A Therapist, HER Therapist, and Our Lives Revealed",Lori Gottlieb
Steve Jobs,Walter Isaacson
Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink
"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S. C. Gwynne
Never Finished: Unshackle Your Mind and Win the War Within,David Goggins
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson
A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,Sonia Purnell
Born a Crime: Stories from a South African Childhood,Trevor Noah
The Light We Carry: Overcoming in Uncertain Times,Michelle Obama
The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre
Leonardo da Vinci,Walter Isaacson
Untamed,Glennon Doyle
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz
The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle
Becoming Supernatural: How Common People are Doing the Uncommon,Joe Dispenza
The Artist's Way: 30th Anniversary Edition,Julia Cameron
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown
The Return of the Gods,Jonathan Cahn
Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One,Joe Dispenza
101 Essays That Will Change The Way You Think,Brianna Wiest
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman
The Ruthless Elimination of Hurry: How to Stay Emotionally Healthy and Spiritually Alive in the Chaos of the Modern World,John Mark Comer
Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty
The Unseen Realm: Recovering the Supernatural Worldview of the Bible,Michael S. Heiser
ESV Study Bible (Ebook),ESV Bibles
Signs: The Secret Language of the Universe,Laura Lynne Jackson
"Jesus Calling, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional) (Jesus Calling®)",Sarah Young
"NIV, Holy Bible",Zondervan
"Imagine Heaven: Near-Death Experiences, God's Promises, and the Exhilarating Future That Awaits You",John Burke
The Purpose Driven Life: What on Earth Am I Here For?,Rick Warren
New Morning Mercies: A Daily Gospel Devotional,Paul David Tripp
"Forgiving What You Can't Forget: Discover How to Move On, Make Peace with Painful Memories, and Create a Life That’s Beautiful Again",Lysa TerKeurst
Deja de ser tú (Crecimiento personal) (Spanish Edition),Joe Dispenza
Este dolor no es mío (Spanish Edition),Mark Wolynn
"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida (Spanish Edition)",Marián Rojas Estapé
El hombre en busca de sentido (Spanish Edition),Viktor Frankl
Cómo ganar amigos e influir sobre las personas (Spanish Edition),DALE CARNEGIE
Encuentra tu persona vitamina (Spanish Edition),Marian Rojas Estapé
Últimos días en Berlín: Finalista Premio Planeta 2021 (Autores Españoles e Iberoamericanos) (Spanish Edition),Paloma Sánchez-Garnica
El infinito en un junco: La invención de los libros en el mundo antiguo (Biblioteca de Ensayo / Serie mayor nº 105) (Spanish Edition),Irene Vallejo
La hermana sombra (Las Siete Hermanas 3): La historia de Star (Spanish Edition),Lucinda Riley
La hermana perdida (Las Siete Hermanas 7) (Spanish Edition),Lucinda Riley
Revolución: Una novela (Spanish Edition),Arturo Pérez-Reverte
La hermana perla (Las Siete Hermanas 4): La historia de CeCe (Spanish Edition),Lucinda Riley
Los Cuatro Acuerdos (Un libro de la sabiduría tolteca) (Spanish Edition),Don Miguel Ruiz
La hermana sol (Las Siete Hermanas 6): La historia de Electra (Spanish Edition),Lucinda Riley
Cien años de soledad (Spanish Edition),Gabriel GarcÍA MÁRquez
Dime quién soy (Spanish Edition),Julia Navarro
El Alquimista (Spanish Edition),Paulo Coelho
"El Club de las 5 de la mañana: Controla tus mañanas, impulsa tu vida (Spanish Edition)",Robin Sharma
El monje que vendió su Ferrari: Una fábula espiritual (Spanish Edition),Robin Sharma
La hermana luna (Las Siete Hermanas 5): La historia de Tiggy (Spanish Edition),Lucinda Riley
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday
Meditations: A New Translation (Modern Library),Marcus Aurelius
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman
Come As You Are: Revised and Updated: The Surprising New Science That Will Transform Your Sex Life,Emily Nagoski Ph.D.
The End of the World is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,Ryan Holiday
Caste: The Origins of Our Discontents,Isabel Wilkerson
The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,Ichiro Kishimi
Don't Believe Everything You Think: Why Your Thinking Is The Beginning & End Of Suffering (Beyond Suffering Book 1),Joseph Nguyen
Principles for Dealing with the Changing World Order: Why Nations Succeed and Fail,Ray Dalio
"The Way of the Superior Man: A Spiritual Guide to Mastering the Challenges of Women, Work, and Sexual Desire (20th Anniversary Edition)",David Deida
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García
Letting Go: The Pathway of Surrender,David R. Hawkins
Prisoners of Geography: Ten Maps That Explain Everything About the World (Politics of Place Book 1),Tim Marshall
The 1619 Project: A New Origin Story,Nikole Hannah-Jones
All About Love: New Visions (Love Song to the Nation Book 1),bell hooks
The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather McGhee
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson
"The Ethical Slut, Third Edition: A Practical Guide to Polyamory, Open Relationships, and Other Freedoms in Sex and Love",Janet W. Hardy
The Fifth Agreement: A Practical Guide to Self-Mastery (A Toltec Wisdom Book),Don Miguel Ruiz
"Business Model Generation: A Handbook for Visionaries, Game Changers, and Challengers (Strategyzer)",Alexander Osterwalder
The Seven Spiritual Laws of Success: A Practical Guide to the Fulfillment of Your Dreams,Deepak Chopra
The Empath's Survival Guide: Life Strategies for Sensitive People,Judith Orloff
Dare: The New Way to End Anxiety and Stop Panic Attacks Fast,Barry McDonagh
The Love Hypothesis: The Tiktok sensation and romcom of the year!,Ali Hazelwood
"Prevent and Reverse Heart Disease: The Revolutionary, Scientifically Proven, Nutrition-Based Cure",Caldwell B. Esselstyn Jr. M.D.
Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal
Talk Like TED: The 9 Public-Speaking Secrets of the World's Top Minds,Carmine Gallo
Glute Lab: The Art and Science of Strength and Physique Training,Bret Contreras
"Rising Strong: How the Ability to Reset Transforms the Way We Live, Love, Parent, and Lead",Brené Brown
Chop Wood Carry Water: How to Fall In Love With the Process of Becoming Great,Joshua Medcalf
The Book of Awakening: Having the Life You Want by Being Present to the Life You Have (20th Anniversary Edition),Mark Nepo
How Will You Measure Your Life?,Clayton M. Christensen
How to Win Friends and Influence People in the Digital Age (Dale Carnegie Books),Dale Carnegie
"Cook Once, Eat All Week: 26 Weeks of Gluten-Free, Affordable Meal Prep to Preserve Your Time & Sanity",Cassy Joy Garcia
Dreaming of Flight: A Novel,Catherine Ryan Hyde
Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions,John P. Kotter
The Complete Cooking for Two Cookbook: 650 Recipes for Everything You'll Ever Want to Make (The Complete ATK Cookbook Series),America's Test Kitchen
Capital in the Twenty-First Century,Thomas Piketty
"The Chimp Paradox: The Mind Management Program to Help You Achieve Success, Confidence, and Happine ss",Prof Steve Peters
The Easy Way to Stop Smoking (Allen Carr's Easyway Book 10),Allen Carr
Zen as F*ck (Zen as F*ck Journals) (Kindle Scribe Only),Monica Sweeney
Barking Up the Wrong Tree: The Surprising Science Behind Why Everything You Know About Success Is (Mostly) Wrong,Eric Barker
In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Maté
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown
Word Power Made Easy: The Complete Handbook for Building a Superior Vocabulary,Norman Lewis
Do the Work,Steven Pressfield
The Code. the Evaluation. the Protocols: Striving to Become an Eminently Qualified Human,Jocko Willink
He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Greg Behrendt
Starting Over at Acorn Cottage: An absolutely heartwarming and uplifting romance,
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson
"Best Self: Be You, Only Better",Mike Bayer
Black Box Thinking: Why Most People Never Learn from Their Mistakes--But Some Do,Matthew Syed
"The Self-Love Workbook: A Life-Changing Guide to Boost Self-Esteem, Recognize Your Worth and Find Genuine Happiness",Shainna Ali PhD
The Ruthless Elimination of Hurry: How to stay emotionally healthy and spiritually alive in the chaos of the modern world,John Mark Comer
"Present, Not Perfect: A Journal for Slowing Down, Letting Go, and Loving Who You Are (Kindle Scribe Only)",Aimee Chase
The Motivation Manifesto: 9 Declarations to Claim Your Personal Power,Brendon Burchard
Factfulness: Ten Reasons We're Wrong About The World - And Why Things Are Better Than You Think,Hans Rosling
Attitude Is Everything: Change Your Attitude... Change Your Life!,Jeff Keller
"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown
The Art of Seduction,Robert Greene
The Rise and Fall of the Third Reich,William L. Shirer
The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,Jonathan Freedland
"Twilight of the Gods: War in the Western Pacific, 1944-1945 (The Pacific War Trilogy)",Ian W. Toll
Killing the Killers: The Secret War Against Terrorists (Bill O'Reilly's Killing Series),Bill O'Reilly
"Pacific Crucible: War at Sea in the Pacific, 1941-1942 (Vol. 1) (The Pacific War Trilogy): War at Sea in the Pacific, 1941–1942",Ian W. Toll
"The Conquering Tide: War in the Pacific Islands, 1942-1944 (Vol. 2) (The Pacific War Trilogy): War in the Pacific Islands, 1942–1944",Ian W. Toll
The Guns of August: The Outbreak of World War I; Barbara W. Tuchman's Great War Series (Modern Library 100 Best Nonfiction Books),Barbara W. Tuchman
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell
These Truths: A History of the United States,Jill Lepore
The Big Short: Inside the Doomsday Machine,Michael Lewis
The 33 Strategies of War (Joost Elffers Books),Robert Greene
Killing the SS: The Hunt for the Worst War Criminals in History (Bill O'Reilly's Killing Series),Bill O'Reilly
"The Guns at Last Light: The War in Western Europe, 1944-1945 (The Liberation Trilogy Book 3)",Rick Atkinson
"An Army at Dawn: The War in North Africa, 1942-1943, Volume One of the Liberation Trilogy",Rick Atkinson
The Forgotten 500: The Untold Story of the Men Who Risked All for the Greatest Rescue Mission of World War II: The Untold Story of the Men Who Risked All ... the GreatestRescue Mission of World War II,Gregory A. Freeman
Killing England: The Brutal Struggle for American Independence (Bill O'Reilly's Killing Series),Bill O'Reilly
Shadow Divers: The True Adventure of Two Americans Who Risked Everything to Solve One of the Last Mysteries of World War II,Robert Kurson
ONYX STORM,Rebecca Yarros
MIDNIGHT BLACK,Mark Greaney
THE NIGHTINGALE,Kristin Hannah
FOURTH WING,Rebecca Yarros
DEEP END,Ali Hazelwood
IRON FLAME,Rebecca Yarros
THE CRASH,Freida McFadden
THE HOUSEMAID,Freida McFadden
SCYTHE & SPARROW,Brynne Weaver
THE FROZEN RIVER,Ariel Lawhon
JAMES,Percival Everett
LIGHTS OUT,Navessa Allen
A COURT OF THORNS AND ROSES,Sarah J. Maas
THE WEDDING PEOPLE,Alison Espach
THE WOMEN,Kristin Hannah
THE TECHNOLOGICAL REPUBLIC,Alexander C. Karp and Nicholas W. Zamiska
SEVEN THINGS YOU CAN'T SAY ABOUT CHINA,Tom Cotton
ON TYRANNY,Timothy Snyder
LORNE,Susan Morrison
THE BODY KEEPS THE SCORE,Bessel van der Kolk
THE ANXIOUS GENERATION,Jonathan Haidt
HILLBILLY ELEGY,JD Vance
HERE BE DRAGONS,Melanie Shankle
SOURCE CODE,Bill Gates
"MONEY, LIES, AND GOD",Katherine Stewart
OUTLIVE,Peter Attia with Bill Gifford
THE SERVICEBERRY,Robin Wall Kimmerer
MEMORIAL DAYS,Geraldine Brooks
THE SIRENS' CALL,Chris Hayes
THE HOUSE OF MY MOTHER,Shari Franke
ONYX STORM,Rebecca Yarros
THE NIGHTINGALE,Kristin Hannah
IRON FLAME,Rebecca Yarros
JAMES,Percival Everett
THE WOMEN,Kristin Hannah
MIDNIGHT BLACK,Mark Greaney
PARANOIA,James Patterson and James O. Born
THE WEDDING PEOPLE,Alison Espach
THE GOD OF THE WOODS,Liz Moore
FOURTH WING,Rebecca Yarros
WE ALL LIVE HERE,Jojo Moyes
DREAM STATE,Eric Puchner
THREE DAYS IN JUNE,Anne Tyler
REMARKABLY BRIGHT CREATURES,Shel Van Pelt
BONDED IN DEATH,J.D. Robb
SEVEN THINGS YOU CAN'T SAY ABOUT CHINA,Tom Cotton
THE TECHNOLOGICAL REPUBLIC,Alexander C. Karp and Nicholas W. Zamiska
THE ANXIOUS GENERATION,Jonathan Haidt
LORNE,Susan Morrison
HERE BE DRAGONS,Melanie Shankle
THE SERVICEBERRY,Robin Wall Kimmerer
SOURCE CODE,Bill Gates
THE SIRENS' CALL,Chris Hayes
OUTLIVE,Peter Attia with Bill Gifford
MEMORIAL DAYS,Geraldine Brooks
"MONEY, LIES, AND GOD",Katherine Stewart
MELANIA,Melania Trump
THE HOUSE OF MY MOTHER,Shari Franke
ELON MUSK,Walter Isaacson
CONFRONTING THE PRESIDENTS,Bill O'Reilly and Martin Dugard
THE CRASH,Freida McFadden
DEEP END,Ali Hazelwood
THE HOUSEMAID,Freida McFadden
FOURTH WING,Rebecca Yarros
SCYTHE & SPARROW,Brynne Weaver
LIGHTS OUT,Navessa Allen
QUICKSILVER,Callie Hart
A COURT OF THORNS AND ROSES,Sarah J. Maas
THE FROZEN RIVER,Ariel Lawhon
THE HOUSEMAID'S SECRET,Freida McFadden
THE NIGHTINGALE,Kristin Hannah
HAUNTING ADELINE,H.D. Carlton
THE BOYFRIEND,Freida McFadden
THE HANDMAID'S TALE,Margaret Atwood
THE HOUSEMAID IS WATCHING,Freida McFadden
ON TYRANNY,Timothy Snyder
THE BODY KEEPS THE SCORE,Bessel van der Kolk
HILLBILLY ELEGY,JD Vance
GREENLIGHTS,Matthew McConaughey
THE BACKYARD BIRD CHRONICLES,Amy Tan
BRAIDING SWEETGRASS,Robin Wall Kimmerer
CHAOS,Tom O'Neill with Dan Piepenbring
"THINKING, FAST AND SLOW",Daniel Kahneman
ALL ABOUT LOVE,bell hooks
THE ART THIEF,Michael Finkel
SIGNS,Laura Lynne Jackson
THE LOST TOMB,Douglas Preston
GHOSTS OF HONOLULU,Mark Harmon and Leon Carroll Jr
SAPIENS,Yuval Noah Harari
EVERYTHING I KNOW ABOUT LOVE,Dolly Alderton
THE LET THEM THEORY,Mel Robbins
ATOMIC HABITS,James Clear
HOW WE LEARN TO BE BRAVE,Mariann Edgar Budde
INNER EXCELLENCE,Jim Murphy
THE 5 TYPES OF WEALTH,Sahil Bloom
"DON'T BELIEVE EVERYTHING YOU THINK, EXPANDED EDITION",Joseph Nguyen
GOOD ENERGY,Casey Means with Calley Means
WHO BETTER THAN YOU?,Will Packer
THE BOOK OF BILL,Alex Hirsch
UNREASONABLE HOSPITALITY,Will Guidara
IMPOSSIBLE CREATURES,Katherine Rundell.
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids
AWAY,Megan E. Freeman
WONDER,R.J. Palacio
LITTLE LEADERS,Vashti Harrison
HEROES,Alan Gratz
THE BLETCHLEY RIDDLE,Ruta Sepetys and Steve Sheinkin
ODDER,Katherine Applegate.
LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY,Vashti Harrison with Kwesi Johnson
WINGS OF FIRE: A GUIDE TO THE DRAGON WORLD,Tui T. Sutherland.
BUFFALO FLUFFALO,Bess Kalb.
HOW TO CATCH A LEPRECHAUN,Adam Wallace.
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin
DRAGONS LOVE TACOS,Adam Rubin.
BLUEY: SLEEPYTIME,Joe Brumm
TAYLOR SWIFT,Wendy Loggia.
GRUMPY MONKEY SPRING FEVER,Suzanne Lang.
THE DAY THE CRAYONS QUIT,Drew Daywalt.
I AM GLINDA,Mary Man-Kong.
HAPPY ST. PATRICK'S DAY FROM THE CRAYONS,Drew Daywalt.
THE HUNGER GAMES,Suzanne Collins
DIARY OF A WIMPY KID,and   Jeff Kinney
THE WILD ROBOT,Peter Brown
LIGHTLARK SAGA,Alex Aster
HARRY POTTER,J.K. Rowling
PERCY JACKSON & THE OLYMPIANS,Rick Riordan
THE POWERLESS TRILOGY,Lauren Roberts
BOYS OF TOMMEN,Chloe Walsh
A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson
THE INHERITANCE GAMES,Jennifer Lynn Barnes
REBEL WITCH,Kristen Ciccarelli
WINGS OF STARLIGHT,Allison Saft
HEARTLESS HUNTER,Kristen Ciccarelli
THE WAY THINGS WORK NOW,David Macaulay with Neil Ardley
NOTHING LIKE THE MOVIES,Lynn Painter
THE ROSE BARGAIN,Sasha Peyton Smith
IF HE HAD BEEN WITH ME,Laura Nowlin
MURTAGH,Christopher Paolini
DIVINE RIVALS,Rebecca Ross
A STUDY IN DROWNING,Ava Reid
